id,song_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,time_signature,type1,uri,track_href,analysis_url,class
59nLT8Be6wKKhgfJKkLN0j,Musica che resta,Il Volo,0.362,0.798,2,-3.43,0,0.0535,0.139,0.0,0.156,0.382,144.016,3.2767488670000002,4,audio_features,spotify:track:59nLT8Be6wKKhgfJKkLN0j,https://api.spotify.com/v1/tracks/59nLT8Be6wKKhgfJKkLN0j,https://api.spotify.com/v1/audio-analysis/59nLT8Be6wKKhgfJKkLN0j,yes
3RsNAWmWCb2kaCy7SAks6S,Nuestro Amor (I Don't Want To Miss A Thing),Il Volo,0.172,0.257,0,-9.59,1,0.0348,0.872,5.25e-06,0.0646,0.119,82.829,4.598308631,4,audio_features,spotify:track:3RsNAWmWCb2kaCy7SAks6S,https://api.spotify.com/v1/tracks/3RsNAWmWCb2kaCy7SAks6S,https://api.spotify.com/v1/audio-analysis/3RsNAWmWCb2kaCy7SAks6S,yes
0v6puLtkyvZMOQZqmV3nqW,Espléndida,Il Volo,0.348,0.394,7,-8.992,0,0.0326,0.856,1.98e-06,0.115,0.128,101.903,4.30075268,4,audio_features,spotify:track:0v6puLtkyvZMOQZqmV3nqW,https://api.spotify.com/v1/tracks/0v6puLtkyvZMOQZqmV3nqW,https://api.spotify.com/v1/audio-analysis/0v6puLtkyvZMOQZqmV3nqW,yes
5IYUTzP5uPvHNJLyLLj1Ht,Il Canto,Il Volo,0.346,0.435,9,-8.86,1,0.0321,0.883,0.00109,0.108,0.121,128.295,4.4658726490000005,4,audio_features,spotify:track:5IYUTzP5uPvHNJLyLLj1Ht,https://api.spotify.com/v1/tracks/5IYUTzP5uPvHNJLyLLj1Ht,https://api.spotify.com/v1/audio-analysis/5IYUTzP5uPvHNJLyLLj1Ht,yes
7pbpDHTHWIbOV0eoVX0qna,Non Farmi Aspettare,Il Volo,0.35,0.422,5,-8.058,1,0.027,0.754,0.00193,0.166,0.131,141.929,3.9696293910000002,4,audio_features,spotify:track:7pbpDHTHWIbOV0eoVX0qna,https://api.spotify.com/v1/tracks/7pbpDHTHWIbOV0eoVX0qna,https://api.spotify.com/v1/audio-analysis/7pbpDHTHWIbOV0eoVX0qna,yes
0QVmfPamUJyGtG3PHSK5Fv,"Luna Escondida (Love Theme From The Movie ""Hidden Moon"")",Il Volo,0.271,0.326,0,-8.996,1,0.0329,0.866,0.0,0.0856,0.207,140.508,3.6522897110000003,4,audio_features,spotify:track:0QVmfPamUJyGtG3PHSK5Fv,https://api.spotify.com/v1/tracks/0QVmfPamUJyGtG3PHSK5Fv,https://api.spotify.com/v1/audio-analysis/0QVmfPamUJyGtG3PHSK5Fv,yes
5L6fieEzHdMSIeZA9p2KCF,Beautiful Day,Il Volo,0.552,0.753,1,-5.163,1,0.0366,0.378,4.33e-05,0.159,0.459,126.965,3.2758488490000004,4,audio_features,spotify:track:5L6fieEzHdMSIeZA9p2KCF,https://api.spotify.com/v1/tracks/5L6fieEzHdMSIeZA9p2KCF,https://api.spotify.com/v1/audio-analysis/5L6fieEzHdMSIeZA9p2KCF,yes
0pSpqvZcR0dCHQgABIPEcH,Así,Eros Ramazzotti,0.519,0.559,4,-6.699,1,0.0324,0.205,0.0,0.302,0.187,131.925,4.251868369,4,audio_features,spotify:track:0pSpqvZcR0dCHQgABIPEcH,https://api.spotify.com/v1/tracks/0pSpqvZcR0dCHQgABIPEcH,https://api.spotify.com/v1/audio-analysis/0pSpqvZcR0dCHQgABIPEcH,yes
3LxM8lJIzExncOfGFi88Xt,Bienvenido Nuestro Amor,Il Volo,0.357,0.327,8,-9.224,1,0.033,0.864,9.8e-06,0.0867,0.144,119.589,3.710290871,4,audio_features,spotify:track:3LxM8lJIzExncOfGFi88Xt,https://api.spotify.com/v1/tracks/3LxM8lJIzExncOfGFi88Xt,https://api.spotify.com/v1/audio-analysis/3LxM8lJIzExncOfGFi88Xt,yes
7BpSqL6K7yPawYRHOXFVUn,Historia De Un Amor,Il Volo,0.401,0.492,8,-8.633,0,0.0399,0.885,0.000335,0.135,0.141,83.092,3.9027447200000003,4,audio_features,spotify:track:7BpSqL6K7yPawYRHOXFVUn,https://api.spotify.com/v1/tracks/7BpSqL6K7yPawYRHOXFVUn,https://api.spotify.com/v1/audio-analysis/7BpSqL6K7yPawYRHOXFVUn,yes
4ZfUDGieDo2QOAjPQ4z9Ye,L'Ultima Volta,Il Volo,0.29,0.36,0,-9.024,1,0.0331,0.821,3.91e-06,0.187,0.101,123.723,3.5589545110000005,4,audio_features,spotify:track:4ZfUDGieDo2QOAjPQ4z9Ye,https://api.spotify.com/v1/tracks/4ZfUDGieDo2QOAjPQ4z9Ye,https://api.spotify.com/v1/audio-analysis/4ZfUDGieDo2QOAjPQ4z9Ye,yes
24fTpKCVry3bLF00HrxckI,Constantemente Mía,Il Volo,0.416,0.393,9,-7.734,1,0.0263,0.9,3.4e-05,0.0886,0.188,85.083,4.064081280000001,4,audio_features,spotify:track:24fTpKCVry3bLF00HrxckI,https://api.spotify.com/v1/tracks/24fTpKCVry3bLF00HrxckI,https://api.spotify.com/v1/audio-analysis/24fTpKCVry3bLF00HrxckI,yes
5SDkPjSLWXXBd9jvbYd8OJ,Más Que Amor,Il Volo,0.355,0.37,9,-8.854,0,0.0324,0.905,1.01e-05,0.0708,0.223,139.561,4.540307471,4,audio_features,spotify:track:5SDkPjSLWXXBd9jvbYd8OJ,https://api.spotify.com/v1/tracks/5SDkPjSLWXXBd9jvbYd8OJ,https://api.spotify.com/v1/audio-analysis/5SDkPjSLWXXBd9jvbYd8OJ,yes
4rRTHiVtBHQpieLn4fhtqP,"Sergio Leone Suite: Ecstasy of Gold from ""The Good, the Bad, and the Ugly""",Ennio Morricone,0.321,0.378,9,-10.336,0,0.0365,0.848,0.847,0.122,0.106,96.344,3.9531957290000004,4,audio_features,spotify:track:4rRTHiVtBHQpieLn4fhtqP,https://api.spotify.com/v1/tracks/4rRTHiVtBHQpieLn4fhtqP,https://api.spotify.com/v1/audio-analysis/4rRTHiVtBHQpieLn4fhtqP,yes
42TkptuMdxoqrosUTwnJIe,"Sergio Leone Suite: Main Theme from ""Once Upon a Time in the West""",Ennio Morricone,0.0682,0.148,2,-16.704,1,0.0416,0.894,0.915,0.115,0.0385,75.689,3.3507336800000003,4,audio_features,spotify:track:42TkptuMdxoqrosUTwnJIe,https://api.spotify.com/v1/tracks/42TkptuMdxoqrosUTwnJIe,https://api.spotify.com/v1/audio-analysis/42TkptuMdxoqrosUTwnJIe,yes
4AmXnLqtS15Mq2cjrnru96,"Sergio Leone Suite: Deborah's Theme from ""Once Upon a Time in America""",Ennio Morricone,0.089,0.186,4,-17.286,1,0.0388,0.951,0.921,0.0962,0.0361,85.2,3.531853969,4,audio_features,spotify:track:4AmXnLqtS15Mq2cjrnru96,https://api.spotify.com/v1/tracks/4AmXnLqtS15Mq2cjrnru96,https://api.spotify.com/v1/audio-analysis/4AmXnLqtS15Mq2cjrnru96,yes
393qU26zNVIQNzdBxWQPek,"Giuseppe Tornatore Suite: Playing Love from ""The Legend of 1900""",Ennio Morricone,0.163,0.144,2,-17.159,1,0.0381,0.985,0.88,0.113,0.0722,80.402,1.8164863290000002,4,audio_features,spotify:track:393qU26zNVIQNzdBxWQPek,https://api.spotify.com/v1/tracks/393qU26zNVIQNzdBxWQPek,https://api.spotify.com/v1/audio-analysis/393qU26zNVIQNzdBxWQPek,yes
7ufjlAqHC2ED4y8574RM6v,The Mission: The Falls,Ennio Morricone,0.105,0.208,7,-15.295,1,0.0381,0.98,0.838,0.374,0.0466,157.851,2.419165049,3,audio_features,spotify:track:7ufjlAqHC2ED4y8574RM6v,https://api.spotify.com/v1/tracks/7ufjlAqHC2ED4y8574RM6v,https://api.spotify.com/v1/audio-analysis/7ufjlAqHC2ED4y8574RM6v,yes
4tZIHyRe46VpgRYMJWcqPO,The Mission: Gabriel's Oboe,Ennio Morricone,0.161,0.261,2,-13.907,1,0.0376,0.978,0.902,0.134,0.0477,70.282,3.201180689,5,audio_features,spotify:track:4tZIHyRe46VpgRYMJWcqPO,https://api.spotify.com/v1/tracks/4tZIHyRe46VpgRYMJWcqPO,https://api.spotify.com/v1/audio-analysis/4tZIHyRe46VpgRYMJWcqPO,yes
5X3KIjROGnuvjoFBBd7vnv,"Wachet auf, ruft uns die Stimme, BWV 645",Johann Sebastian Bach,0.356,0.0589,2,-23.721,1,0.0459,0.984,0.824,0.128,0.355,79.983,3.80207604,4,audio_features,spotify:track:5X3KIjROGnuvjoFBBd7vnv,https://api.spotify.com/v1/tracks/5X3KIjROGnuvjoFBBd7vnv,https://api.spotify.com/v1/audio-analysis/5X3KIjROGnuvjoFBBd7vnv,yes
2ItIk6Mc4PPWdPwtHqzkVF,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air",Johann Sebastian Bach,0.125,0.0303,6,-25.543,1,0.0417,0.934,0.918,0.152,0.0969,75.537,5.0414341600000006,5,audio_features,spotify:track:2ItIk6Mc4PPWdPwtHqzkVF,https://api.spotify.com/v1/tracks/2ItIk6Mc4PPWdPwtHqzkVF,https://api.spotify.com/v1/audio-analysis/2ItIk6Mc4PPWdPwtHqzkVF,yes
5tldi9iLFKFn0Xh8wCSx8g,"Sonata in A Major for Violin and Piano, FWV 8 (Arr. for Cello and Piano): I. Allegretto ben moderato",César Franck,0.171,0.0243,9,-26.081,1,0.0394,0.991,0.825,0.0773,0.0384,86.299,5.773448800000001,4,audio_features,spotify:track:5tldi9iLFKFn0Xh8wCSx8g,https://api.spotify.com/v1/tracks/5tldi9iLFKFn0Xh8wCSx8g,https://api.spotify.com/v1/audio-analysis/5tldi9iLFKFn0Xh8wCSx8g,yes
13RlFP5O9ZwJbe1Vy1Jclm,Libertango,Yo-Yo Ma,0.607,0.474,9,-11.24,0,0.0282,0.845,0.94,0.124,0.805,139.89,3.1300626000000005,4,audio_features,spotify:track:13RlFP5O9ZwJbe1Vy1Jclm,https://api.spotify.com/v1/tracks/13RlFP5O9ZwJbe1Vy1Jclm,https://api.spotify.com/v1/audio-analysis/13RlFP5O9ZwJbe1Vy1Jclm,yes
1Lyf6eFKuaF88gCtNu2bHy,"Ave Maria, D. 839, Op. 52, No. 6 (Ellens Gesang III from ""Ein Fräulein vom See"") [Arr. for Cello and Piano]",Franz Schubert,0.0996,0.0143,10,-30.664,1,0.0435,0.99,0.939,0.0916,0.066,82.832,4.24875164,4,audio_features,spotify:track:1Lyf6eFKuaF88gCtNu2bHy,https://api.spotify.com/v1/tracks/1Lyf6eFKuaF88gCtNu2bHy,https://api.spotify.com/v1/audio-analysis/1Lyf6eFKuaF88gCtNu2bHy,yes
0P7UwPB9vL74bD6gzYaKIu,"Salut d'Amour, Op. 12",Edward Elgar,0.138,0.0337,2,-27.266,1,0.0476,0.989,0.974,0.1,0.181,72.134,2.7447215600000003,4,audio_features,spotify:track:0P7UwPB9vL74bD6gzYaKIu,https://api.spotify.com/v1/tracks/0P7UwPB9vL74bD6gzYaKIu,https://api.spotify.com/v1/audio-analysis/0P7UwPB9vL74bD6gzYaKIu,yes
